film_id,parser_character_id,review_character_id,parser_canonical_name,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,gender,gender_rationale,is_named,is_protagonist,included_in_network,merge_into_character_id,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,review_notes
findingnemo,findingnemo_marlin,findingnemo_marlin,Marlin,Marlin,MARLIN,1,M,,TRUE,TRUE,TRUE,,366,366,0,3322,3322,0,findingnemo_s001,1,
findingnemo,findingnemo_dory,findingnemo_dory,Dory,Dory,DORY,1,F,,TRUE,FALSE,TRUE,,248,248,0,1808,1808,0,findingnemo_s004,203,
findingnemo,findingnemo_nemo,findingnemo_nemo,Nemo,Nemo,NEMO,1,M,,TRUE,FALSE,TRUE,,153,153,0,647,647,0,findingnemo_s002,40,
findingnemo,findingnemo_gill,findingnemo_gill,Gill,Gill,GILL,1,M,,TRUE,FALSE,TRUE,,89,89,0,760,760,0,findingnemo_s006,440,
findingnemo,findingnemo_bloat,findingnemo_bloat,Bloat,Bloat,BLOAT,1,M,,TRUE,FALSE,TRUE,,42,42,0,469,469,0,findingnemo_s006,373,
findingnemo,findingnemo_gurgle,findingnemo_gurgle,Gurgle,Gurgle,GURGLE,1,M,,TRUE,FALSE,TRUE,,39,39,0,194,194,0,findingnemo_s006,379,
findingnemo,findingnemo_peach,findingnemo_peach,Peach,Peach,PEACH,1,F,,TRUE,FALSE,TRUE,,39,39,0,291,291,0,findingnemo_s006,369,
findingnemo,findingnemo_bruce,findingnemo_bruce,Bruce,Bruce,BRUCE,1,M,,TRUE,FALSE,TRUE,,38,38,0,280,280,0,findingnemo_s004,238,
findingnemo,findingnemo_nigel,findingnemo_nigel,Nigel,Nigel,NIGEL,1,M,,TRUE,FALSE,TRUE,,35,35,0,426,426,0,findingnemo_s006,421,
findingnemo,findingnemo_crush,findingnemo_crush,Crush,Crush,CRUSH,1,M,,TRUE,FALSE,TRUE,,29,29,0,272,272,0,findingnemo_s011,770,
findingnemo,findingnemo_dentist,findingnemo_dentist,Dentist,Dentist,DENTIST,1,M,,TRUE,FALSE,TRUE,,29,29,0,324,324,0,findingnemo_s006,360,referred to by role; named character (Philip Sherman)
findingnemo,findingnemo_deb,findingnemo_deb,Deb,Deb,DEB,1,F,,TRUE,FALSE,TRUE,,24,24,0,120,120,0,findingnemo_s006,374,
findingnemo,findingnemo_mr_ray,findingnemo_mr_ray,Mr. Ray,Mr. Ray,MR. RAY,1,M,,TRUE,FALSE,TRUE,,21,21,0,320,320,0,findingnemo_s003,121,
findingnemo,findingnemo_chum,findingnemo_chum,Chum,Chum,CHUM,1,M,,TRUE,FALSE,TRUE,,18,18,0,126,126,0,findingnemo_s004,255,
findingnemo,findingnemo_coral,findingnemo_coral,Coral,Coral,CORAL,1,F,,TRUE,FALSE,TRUE,,17,17,0,128,128,0,findingnemo_s001,2,
findingnemo,findingnemo_moonfish_leader,findingnemo_moonfish_leader,Moonfish Leader,Moonfish Leader,MOONFISH LEADER,1,M,,FALSE,FALSE,FALSE,,16,16,0,188,188,0,findingnemo_s009,594,"descriptive label, not a proper name"
findingnemo,findingnemo_darla,findingnemo_darla,Darla,Darla,DARLA,1,F,,TRUE,FALSE,TRUE,,15,15,0,52,52,0,findingnemo_s019,1177,
findingnemo,findingnemo_anchor,findingnemo_anchor,Anchor,Anchor,ANCHOR,1,M,,TRUE,FALSE,TRUE,,14,14,0,64,64,0,findingnemo_s004,252,
findingnemo,findingnemo_bubbles,findingnemo_bubbles,Bubbles,Bubbles,BUBBLES,1,M,,TRUE,FALSE,TRUE,,14,14,0,47,47,0,findingnemo_s006,368,
findingnemo,findingnemo_squirt,findingnemo_squirt,Squirt,Squirt,SQUIRT,1,M,,TRUE,FALSE,TRUE,,12,12,0,92,92,0,findingnemo_s011,799,
findingnemo,findingnemo_crab,findingnemo_crab,Crab,Crab,CRAB | CRAB 1 | CRAB 2,3,M,,FALSE,FALSE,FALSE,,11,11,0,85,85,0,findingnemo_s011,860,
findingnemo,findingnemo_jacques,findingnemo_jacques,Jacques,Jacques,JACQUES,1,M,,TRUE,FALSE,TRUE,,11,11,0,25,25,0,findingnemo_s006,371,
findingnemo,findingnemo_bob,findingnemo_bob,Bob,Bob,BOB,1,M,,TRUE,FALSE,TRUE,,10,10,0,56,56,0,findingnemo_s003,93,
